Kode;Nama;Bidang
INTA;Intraco Penta Tbk.;Perdagangan
INTD;Inter Delta Tbk;Perdagangan
ITMA;Sumber Energi Andalan Tbk.;Perdagangan
ITTG;Leo Investments Tbk.;Perdagangan
JGLE;Graha Andrasentra Propertindo;Perdagangan
JIHD;Jakarta International Hotels &;Perdagangan
JSPT;Jakarta Setiabudi Internasiona;Perdagangan
JTPE;Jasuindo Tiga Perkasa Tbk.;Perdagangan
KBLV;First Media Tbk.;Perdagangan
KOBX;Kobexindo Tractors Tbk.;Perdagangan
KOIN;Kokoh Inti Arebama Tbk;Perdagangan
KONI;Perdana Bangun Pusaka Tbk;Perdagangan
KPIG;MNC Land Tbk.;Perdagangan
LINK;Link Net Tbk.;Perdagangan
LMAS;Limas Indonesia Makmur Tbk;Perdagangan
LPLI;Star Pacific Tbk;Perdagangan
LPPF;Matahari Department Store Tbk.;Perdagangan
LTLS;Lautan Luas Tbk.;Perdagangan
MAMI;Mas Murni Indonesia Tbk;Perdagangan
MAMIP;Mas Murni Tbk (Saham Preferen);Perdagangan
MAPI;Mitra Adiperkasa Tbk.;Perdagangan
MARI;Mahaka Radio Integra Tbk.;Perdagangan
MDIA;Intermedia Capital Tbk.;Perdagangan
MDRN;Modern Internasional Tbk.;Perdagangan
MFMI;Multifiling Mitra Indonesia Tb;Perdagangan
MICE;Multi Indocitra Tbk.;Perdagangan
MIDI;Midi Utama Indonesia Tbk.;Perdagangan
MIKA;Mitra Keluarga Karyasehat Tbk.;Perdagangan
MKNT;Mitra Komunikasi Nusantara Tbk;Perdagangan
MLPL;Multipolar Tbk.;Perdagangan
MLPT;Multipolar Technology Tbk.;Perdagangan
MNCN;Media Nusantara Citra Tbk.;Perdagangan
MPMX;Mitra Pinasthika Mustika Tbk.;Perdagangan
MPPA;Matahari Putra Prima Tbk.;Perdagangan
MSKY;MNC Sky Vision Tbk.;Perdagangan
MTDL;Metrodata Electronics Tbk.;Perdagangan
OCAP;Onix Capital Tbk.;Perdagangan
OKAS;Ancora Indonesia Resources Tbk;Perdagangan
PANR;Panorama Sentrawisata Tbk.;Perdagangan
PDES;Destinasi Tirta Nusantara Tbk;Perdagangan
PGLI;Pembangunan Graha Lestari Inda;Perdagangan
PJAA;Pembangunan Jaya Ancol Tbk.;Perdagangan
PLAS;Polaris Investama Tbk;Perdagangan
PNSE;Pudjiadi & Sons Tbk.;Perdagangan
POOL;Pool Advista Indonesia Tbk.;Perdagangan
PSKT;Red Planet Indonesia Tbk.;Perdagangan
PTSP;Pioneerindo Gourmet Internatio;Perdagangan
PUDP;Pudjiadi Prestige Tbk.;Perdagangan
RALS;Ramayana Lestari Sentosa Tbk.;Perdagangan
RANC;Supra Boga Lestari Tbk.;Perdagangan
