Date,Open,High,Low,Close,Volume
17-Apr-15,170.82,171.44,170.78,170.88,0
16-Apr-15,171.30,171.69,170.33,171.00,0
15-Apr-15,171.25,171.39,170.24,171.09,0
14-Apr-15,172.28,172.30,170.38,170.97,0
13-Apr-15,173.06,173.31,171.59,172.35,0
10-Apr-15,173.96,174.09,172.83,173.51,0
9-Apr-15,173.34,173.86,173.03,173.86,0
8-Apr-15,174.24,174.46,172.75,173.03,0
7-Apr-15,173.00,174.43,172.97,174.40,0
6-Apr-15,172.16,172.69,172.06,172.50,0
2-Apr-15,172.64,173.02,171.23,171.74,0
1-Apr-15,173.86,174.06,171.97,172.25,0
31-Mar-15,173.73,174.10,173.21,174.10,0
30-Mar-15,170.98,172.66,170.82,172.24,0
27-Mar-15,168.61,170.32,168.43,170.19,0
26-Mar-15,169.48,170.32,168.87,168.87,0
25-Mar-15,172.18,172.33,170.11,170.30,0
24-Mar-15,172.38,173.10,172.26,172.53,0
23-Mar-15,173.09,173.70,172.23,172.37,0
20-Mar-15,172.88,173.02,172.18,172.72,0
19-Mar-15,173.00,173.59,173.00,173.35,0
18-Mar-15,172.68,172.94,171.83,171.83,0
17-Mar-15,173.52,173.82,172.59,172.99,0
16-Mar-15,172.65,173.36,172.61,172.93,0
13-Mar-15,173.61,173.68,172.55,172.88,0
12-Mar-15,172.41,173.45,172.28,172.93,0
11-Mar-15,173.16,173.18,171.72,172.35,0
10-Mar-15,173.26,174.03,172.02,173.83,0
9-Mar-15,174.72,174.78,172.98,173.56,0
6-Mar-15,174.14,175.74,173.76,175.74,0
5-Mar-15,174.08,174.56,173.56,173.56,0
4-Mar-15,175.23,175.31,173.62,173.85,0
3-Mar-15,175.33,175.79,174.97,175.14,0
2-Mar-15,174.46,175.13,174.31,175.13,0
27-Feb-15,175.06,175.40,174.29,174.32,0
26-Feb-15,174.31,175.29,174.27,174.96,0
25-Feb-15,173.91,174.84,173.90,174.80,0
24-Feb-15,172.99,173.71,172.81,173.55,0
23-Feb-15,172.98,173.45,172.65,173.10,0
20-Feb-15,172.67,173.38,172.48,172.52,0
18-Feb-15,172.43,173.33,172.40,172.86,0
17-Feb-15,171.05,171.70,171.05,171.70,0
16-Feb-15,173.38,173.53,170.98,170.98,0
13-Feb-15,172.69,173.43,172.27,173.21,0
12-Feb-15,172.05,172.18,171.23,172.18,0
11-Feb-15,171.81,172.46,171.52,172.07,0
10-Feb-15,172.57,172.75,171.03,171.32,0
9-Feb-15,172.43,173.15,171.71,172.26,0
6-Feb-15,170.62,172.33,170.55,172.33,0
5-Feb-15,171.18,171.46,169.30,170.18,0
4-Feb-15,171.80,172.52,171.01,171.46,0
3-Feb-15,170.71,171.76,170.69,170.95,0
2-Feb-15,170.97,171.30,169.86,170.42,0
30-Jan-15,171.55,171.70,171.02,171.50,0
29-Jan-15,170.78,171.02,170.50,170.66,0
28-Jan-15,170.92,171.35,170.71,171.09,0
27-Jan-15,170.50,171.20,169.70,171.20,0
26-Jan-15,172.54,172.56,168.93,170.70,0
23-Jan-15,172.31,173.52,172.31,172.99,0
22-Jan-15,169.63,171.65,169.63,171.45,0
21-Jan-15,167.47,169.79,167.22,169.79,0
20-Jan-15,166.22,167.15,165.42,167.15,0
19-Jan-15,166.27,166.80,165.27,165.98,0
16-Jan-15,167.05,167.75,165.83,166.08,0
15-Jan-15,166.72,167.36,166.32,167.17,0
14-Jan-15,168.30,168.57,166.03,166.03,0
13-Jan-15,167.59,168.27,167.44,168.27,0
12-Jan-15,167.65,168.09,167.10,167.11,0
9-Jan-15,168.21,168.76,167.79,167.89,0
8-Jan-15,167.89,168.32,167.60,167.81,0
7-Jan-15,166.50,167.54,166.47,167.43,0
6-Jan-15,166.76,167.15,166.29,166.29,0
5-Jan-15,168.86,168.88,167.72,168.09,0
2-Jan-15,169.06,169.42,168.78,169.23,0
30-Dec-14,166.97,168.64,166.78,168.64,0
29-Dec-14,166.50,167.02,166.45,166.98,0
24-Dec-14,165.41,166.69,165.41,166.33,0
23-Dec-14,165.25,165.94,165.25,165.51,0
22-Dec-14,166.14,166.41,164.86,164.86,0
19-Dec-14,165.65,166.38,165.14,165.63,0
18-Dec-14,163.28,164.68,163.28,164.68,0
17-Dec-14,162.31,163.19,161.89,161.89,0
16-Dec-14,163.15,163.23,161.26,162.00,0
15-Dec-14,165.40,165.44,164.39,164.54,0
12-Dec-14,166.21,166.92,166.16,166.30,0
11-Dec-14,165.80,166.71,165.61,166.18,0
10-Dec-14,165.55,166.58,165.55,166.47,0
9-Dec-14,165.30,165.82,164.96,165.51,0
8-Dec-14,167.91,168.04,165.16,165.74,0
5-Dec-14,167.43,167.90,167.30,167.31,0
4-Dec-14,166.64,168.08,166.37,167.23,0
3-Dec-14,167.37,167.50,166.14,166.37,0
2-Dec-14,166.93,167.81,166.63,167.07,0
1-Dec-14,166.02,166.81,165.60,166.81,0
28-Nov-14,165.82,166.10,165.46,166.10,0
27-Nov-14,165.43,166.16,165.43,166.13,0
26-Nov-14,165.34,165.58,164.45,165.40,0
25-Nov-14,165.76,166.16,165.14,165.14,0
24-Nov-14,165.38,166.40,165.26,166.13,0
